entry_id,organisation,category,source_name,source_type,source_url,verification_status,last_checked
KMC-WARD-07,Kathmandu Metropolitan City Ward No. 7 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-08,Kathmandu Metropolitan City Ward No. 8 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-09,Kathmandu Metropolitan City Ward No. 9 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-10,Kathmandu Metropolitan City Ward No. 10 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-11,Kathmandu Metropolitan City Ward No. 11 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-12,Kathmandu Metropolitan City Ward No. 12 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-13,Kathmandu Metropolitan City Ward No. 13 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-14,Kathmandu Metropolitan City Ward No. 14 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-15,Kathmandu Metropolitan City Ward No. 15 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-16,Kathmandu Metropolitan City Ward No. 16 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-17,Kathmandu Metropolitan City Ward No. 17 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-18,Kathmandu Metropolitan City Ward No. 18 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-19,Kathmandu Metropolitan City Ward No. 19 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-20,Kathmandu Metropolitan City Ward No. 20 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-21,Kathmandu Metropolitan City Ward No. 21 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
